zip-code,rebate-usd,lat,lng,median-household-income,mean-household-income,population
37764,90,35.9848005,-83.6135572,49463,65502,9258
77354,156,30.2001196,-95.624767,81614,102703,30215
67346,100,37.3352064,-96.4503434,33822,44387,372
60958,80,41.0440965,-87.5692461,25045,28750,2135
38901,100,33.7516314,-89.8130356,32592,45764,19958
16373,100,41.1967642,-79.6726632,42845,50951,3651
47601,75,38.0736703,-87.2618328,52795,68101,13896
14724,60,42.0655227,-79.6726632,40324,48260,2464
67154,100,37.9564985,-97.0713572,64529,78896,1510
12934,88,44.8537682,-73.9045365,44556,51852,1028
17814,100,41.2871032,-76.3868797,42903,52554,4840
5076,100,44.1437847,-72.2303187,48125,56371,412
29730,100,34.9037259,-81.0092062,41113,50791,52354
13033,88,43.1751935,-76.6181655,50344,59206,3957
45325,75,39.6936111,-84.4277703,50514,63500,2495
54862,88,45.7657088,-91.1071708,37725,45216,261
97344,75,44.8870108,-123.5485564,37265,51645,1118
19083,100,39.9734766,-75.312064,85255,97651,36266
89141,100,35.9706292,-115.3074646,75854,93518,244
7874,90,40.9292038,-74.7044425,87295,97271,9303
6248,100,41.6833811,-72.4139787,104374,111725,5603
30259,95,33.2606063,-84.7524482,50197,60615,3041
86442,90,35.0771847,-114.5599015,35616,46258,33382
28101,100,35.25386,-81.0740858,43006,50580,661
94403,50,37.5349925,-122.3050823,90717,109077,39642
47243,75,38.6597559,-85.4684971,37799,47183,5951
76640,156,31.6951077,-97.0605998,51311,63341,3005
56444,100,46.4313713,-93.8796655,43609,55502,3098
17055,100,40.1732512,-76.9988669,60501,72002,30704
6517,75,41.3469288,-72.9047136,71991,89294,14853
65739,100,36.5107717,-93.2684215,41074,46173,1326
51357,88,43.0720985,-95.2893433,45921,54417,728
24138,100,37.03949,-80.3101684,48581,58087,1613
29052,100,33.8272919,-80.7436141,37956,47940,2021
56649,100,48.5494209,-93.3763619,36027,52261,10572
6607,75,41.1743166,-73.1674128,33843,45773,7843
1474,100,42.6675405,-71.7503855,78207,84939,2302
21742,90,39.6716156,-77.6765184,56961,68003,22072
85653,63,32.4026649,-111.4275888,50462,60960,15083
24472,100,37.9170245,-79.233837,44967,54389,2271
99348,100,46.4050837,-118.4262951,54833,67950,1364
47380,100,40.2739704,-85.0337392,43467,52106,2004
72429,100,35.4965717,-90.9247501,37643,52512,427
83429,100,44.5061332,-111.4150397,52813,54685,1048
91770,83,34.0617365,-118.0830047,49191,62602,62097
66091,100,38.1747458,-95.3311652,42246,58686,352
72921,100,35.4706032,-94.2128337,42169,52079,13787
27341,100,35.5367858,-79.6726632,38103,50444,4996
3809,100,43.414235,-71.2161428,57560,71765,2928
24437,100,38.2078728,-78.9344814,46100,56816,904
1038,100,42.3818468,-72.6092032,53939,72430,2557
78605,100,30.7621955,-98.0247005,50320,64340,4952
93210,50,36.2615718,-120.4357631,25577,32436,11218
47553,75,38.6755182,-86.9223432,43971,54970,8495
98033,88,47.6688298,-122.1923875,96609,121402,34338
39629,100,31.4219066,-90.4691097,40000,49974,5760
62549,100,39.7752231,-88.8694951,70407,80213,6269
24017,100,37.2893078,-79.9975916,32714,38100,23392
15868,100,41.2738533,-78.4069732,44298,48515,1413
56379,83,45.6608329,-94.0699511,55358,64667,13698
54773,88,44.372924,-91.3083685,41879,51372,3336
65254,63,39.2248465,-92.797901,45357,69077,1810
45123,67,39.3615952,-83.4003037,39137,44769,7775
18017,100,40.659437,-75.3995089,64939,76522,35455
99111,88,46.8546482,-117.4377846,50425,57350,4047
10710,100,40.9675084,-73.8477874,80118,93642,25538
98383,88,47.65805,-122.7120272,66531,80202,19727
5148,100,43.2263478,-72.7688226,50715,59601,1140
31781,95,31.5577767,-83.7942551,34540,46721,1752
2460,100,42.3467771,-71.2072321,107495,140026,8772
3902,100,43.2297864,-70.6335763,72016,86286,2083
